Year,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,DOMESTIC VIOLENCE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
2001,1011,31380,93445,26003,1,1683,55843,25,13237,14740,1,934,667,0,405,278,933,1636,27541,50554,0,19,2064,6,29610,6025,9,2748,8,18438,2112,203,98419,4273
2002,944,28764,85544,22836,0,1516,50640,26,12607,11613,0,887,656,0,322,297,748,1246,22568,46367,0,22,2029,4,29098,5724,7,2257,2,16592,1853,173,86500,3887
2003,10,227,822,229,0,19,519,4,133,69,0,1,598,0,5,4,6,0,225,21,0,0,24,0,309,2,0,16,0,236,16,3,839,48
2004,3,46,96,20,0,7,9,8,3,12,0,0,454,0,1,0,0,0,6,10,0,0,20,0,10,1,0,3,0,4,5,1,150,2
2005,0,49,113,23,0,7,22,6,7,29,0,1,451,0,1,0,0,1,14,39,0,0,18,0,32,2,0,1,0,34,7,0,181,2
2006,1,38,82,4,0,5,3,4,3,16,0,1,469,0,0,0,0,0,6,12,0,0,20,0,2,1,0,1,0,17,6,1,101,1
2007,0,37,74,24,0,2,4,4,2,17,0,1,446,0,1,0,0,0,0,4,0,0,12,0,1,0,0,0,0,18,5,0,101,1
2008,1,29,68,26,0,5,20,16,2,25,0,0,513,0,0,0,0,0,12,32,0,0,18,0,10,2,0,1,0,56,3,1,166,0
2009,0,38,98,22,0,5,20,14,2,26,0,0,461,0,0,0,0,0,2,24,0,0,17,0,9,4,0,1,0,24,3,0,139,2
2010,0,18,51,9,0,2,4,18,0,22,0,0,438,0,0,0,0,0,2,3,0,0,22,0,1,0,0,0,0,15,6,0,72,0
2011,1,33,63,6,0,3,1,18,2,37,0,0,433,0,0,0,0,0,1,2,0,0,22,0,5,0,0,1,0,20,6,1,77,2
2012,0,43,41,7,0,1,1,13,0,43,0,0,514,0,0,0,0,0,2,6,0,0,26,0,2,0,0,0,0,4,7,0,63,2
2013,1,25,36,8,0,4,3,17,0,66,0,0,427,0,0,0,0,0,3,3,0,0,37,0,2,0,0,0,0,10,9,0,46,1
2014,0,16,36,8,0,5,3,17,2,103,0,0,427,1,0,0,0,0,3,18,0,0,38,0,4,1,0,0,0,38,22,2,48,0
2015,3,23,41,8,0,5,2,22,3,136,0,0,495,0,0,0,0,0,1,106,0,0,52,0,15,0,0,0,0,26,18,1,100,0
2016,1,24,42,6,0,6,13,22,3,131,0,0,784,0,0,0,1,0,5,6,0,0,45,0,12,0,0,0,0,13,22,0,127,4
2017,0,33,51,17,0,9,9,43,3,178,0,0,670,0,0,0,1,0,9,17,0,0,49,0,26,0,0,0,0,18,19,3,154,0
2018,3,39,57,11,0,5,5,37,1,209,0,0,585,0,0,0,0,0,10,42,0,1,61,0,19,0,0,0,0,11,21,4,131,0
2019,0,26,66,12,0,0,13,26,3,180,0,0,496,0,0,0,0,0,9,13,0,0,45,0,15,0,0,0,0,12,16,1,136,3
2020,1,38,92,38,0,0,34,31,9,337,0,0,777,0,1,1,0,0,15,23,0,2,46,0,47,0,0,0,0,25,30,3,180,5
2021,2,47,111,29,0,0,38,49,2,450,0,0,800,2,0,0,1,0,26,217,0,2,72,0,53,0,0,0,0,57,41,0,248,14
2022,13,122,304,98,0,0,180,134,18,1104,0,0,705,0,3,3,1,3,222,159,0,3,136,1,235,0,0,5,0,118,87,18,777,30
2023,162,6758,13090,2354,61,0,8796,562,1421,5858,0,8,589,4,181,59,36,53,8325,1921,1,13,599,0,4831,36,2,246,0,3977,493,172,18381,2263
2024,23,1031,2290,543,10,0,1386,79,266,792,0,2,271,6,27,8,6,13,934,380,0,1,76,0,868,18,1,34,0,488,58,31,2945,317
2025,14,580,1153,213,12,0,707,45,154,346,0,0,9,1,29,3,2,6,430,287,1,1,38,0,572,5,1,23,0,226,30,9,1444,223
